CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST_00001,Male,0,Yes,No,37,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,One year,Yes,Electronic check,49.14,1862.8,1
CUST_00002,Female,0,Yes,Yes,52,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Bank transfer (automatic),32.08,1681.67,1
CUST_00003,Female,0,Yes,No,33,Yes,No,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Electronic check,30.74,1028.68,1
CUST_00004,Male,0,No,No,30,Yes,No phone service,No,No,Yes,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),20.93,647.65,1
CUST_00005,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,117.84,6801.16,1
CUST_00006,Female,1,Yes,No,57,Yes,No,DSL,No,No,No internet service,No,No internet service,Yes,One year,No,Credit card (automatic),85.51,4881.56,1
CUST_00007,Male,0,Yes,No,15,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,52.12,798.31,1
CUST_00008,Female,0,Yes,Yes,59,No,Yes,No,Yes,No,No internet service,No internet service,No internet service,No,One year,Yes,Electronic check,77.91,4600.44,1
CUST_00009,Male,0,No,No,24,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,81.91,1952.06,1
CUST_00010,Male,1,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,38.29,381.22,1
CUST_00011,Female,0,No,No,63,Yes,No,DSL,No internet service,No,No,Yes,No internet service,No,One year,Yes,Credit card (automatic),48.89,3040.16,1
CUST_00012,Female,0,Yes,Yes,17,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,Yes,Two year,Yes,Electronic check,74.73,1291.91,1
CUST_00013,Female,0,Yes,Yes,15,Yes,No,No,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),103.98,1509.46,1
CUST_00014,Female,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,No,Electronic check,32.96,630.63,1
CUST_00015,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),105.83,3727.91,1
CUST_00016,Female,0,No,No,12,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.9,980.96,1
CUST_00017,Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.97,810.69,1
CUST_00018,Male,1,Yes,No,28,Yes,No,No,Yes,No,No,Yes,No,Yes,Two year,No,Mailed check,34.39,902.98,1
CUST_00019,Female,0,No,Yes,16,Yes,No,DSL,No,No,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),74.99,1198.23,1
CUST_00020,Male,0,No,Yes,14,Yes,No,DSL,No internet service,No,No,No internet service,No internet service,No,Two year,No,Electronic check,55.36,752.98,1
CUST_00021,Female,1,No,No,65,Yes,No,No,No,No internet service,Yes,No internet service,No,No,Two year,No,Electronic check,38.9,2545.31,0
CUST_00022,Male,0,No,Yes,43,Yes,Yes,No,No,No internet service,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.0,4625.92,1
CUST_00023,Male,0,No,No,1,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,66.06,4.79,1
CUST_00024,Female,0,No,Yes,8,No,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.98,175.41,1
CUST_00025,Female,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Electronic check,50.21,2897.24,1
CUST_00026,Female,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,38.15,766.81,1
CUST_00027,Male,0,No,Yes,11,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),113.92,1212.38,1
CUST_00028,Female,0,Yes,No,48,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,44.31,2100.33,1
CUST_00029,Female,1,No,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),70.64,4266.14,1
CUST_00030,Male,0,No,Yes,29,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),94.55,2780.79,1
CUST_00031,Male,0,Yes,No,53,Yes,No,No,No,Yes,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,35.85,1909.74,1
CUST_00032,Male,0,No,Yes,30,Yes,Yes,Fiber optic,No internet service,No,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,63.75,1902.52,1
CUST_00033,Male,0,No,No,8,Yes,No,DSL,Yes,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,85.33,660.89,1
CUST_00034,Female,0,Yes,Yes,57,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,108.2,6186.27,1
CUST_00035,Female,1,No,No,66,No,No,No,Yes,No,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),85.41,5625.99,1
CUST_00036,Male,1,No,No,70,No,No phone service,DSL,No internet service,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),28.01,1992.9,1
CUST_00037,Female,0,No,No,8,Yes,No,No,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,52.16,451.32,1
CUST_00038,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,No,Yes,No internet service,No,No,One year,No,Electronic check,55.09,2273.04,1
CUST_00039,Male,0,Yes,No,45,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,One year,Yes,Electronic check,58.83,2629.93,1
CUST_00040,Female,0,No,No,6,Yes,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,Two year,Yes,Electronic check,114.16,670.25,1
CUST_00041,Male,0,Yes,No,68,Yes,No,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No,One year,Yes,Mailed check,23.57,1545.23,0
CUST_00042,Female,0,Yes,No,8,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),50.22,399.92,1
CUST_00043,Female,0,Yes,No,20,Yes,No,DSL,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,69.25,1382.07,1
CUST_00044,Male,0,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),28.64,1927.95,1
CUST_00045,Male,0,No,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,68.35,2816.75,0
CUST_00046,Female,0,No,No,49,Yes,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),30.71,1524.26,0
CUST_00047,Male,0,No,No,36,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.78,3706.66,1
CUST_00048,Female,0,No,No,54,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Two year,No,Credit card (automatic),47.01,2610.44,1
CUST_00049,Female,0,Yes,Yes,6,No,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Electronic check,72.3,416.44,1
